direction,k,ref_x,ref_y,fovea_x,fovea_y
up,1,103.0,104.0,73.0,33.0
left,1,73.0,33.0,17.0,39.0
right,1,17.0,39.0,71.0,27.0
down,1,71.0,27.0,83.0,89.0
right,1,83.0,89.0,143.0,118.0
left,1,143.0,118.0,102.0,106.0
up,1,102.0,106.0,93.0,35.0
left,1,93.0,35.0,74.0,8.0
