id,name,x,y
1,top-left,29.0,32.5
2,top-mid,86.5,32.5
3,top-right,144.0,32.5
4,bottom-left,29.0,97.5
5,bottom-mid,86.5,97.5
6,bottom-right,144.0,97.5
